Datierung,Konk_total,Konk_Hs,Konk_kern,Konk_Ausgaben,Konk_Tabulatur,Konk_Theorie
,136,24,109,1,2,0
1462,2,2,0,0,0,0
1469,3,3,0,0,0,0
1470,3,3,0,0,0,0
1472,7,0,0,0,0,7
1477,7,4,0,0,0,3
1481,6,6,0,0,0,0
1482,4,0,0,0,0,4
1483,5,5,0,0,0,0
1485,2,2,0,0,0,0
1487,2,2,0,0,0,0
1488,3,3,0,0,0,0
1492,11,11,0,0,0,0
1493,5,2,3,0,0,0
1494,4,0,4,0,0,0
1495,4,4,0,0,0,0
1497,10,10,0,0,0,0
1500,31,29,2,0,0,0
1501,1,0,0,1,0,0
1502,14,9,0,5,0,0
1503,8,3,0,5,0,0
1504,3,1,0,2,0,0
1505,17,5,0,12,0,0
1506,9,2,0,7,0,0
1507,6,1,0,4,1,0
1508,3,1,0,2,0,0
1509,2,2,0,0,0,0
1510,3,3,0,0,0,0
1512,24,22,0,0,2,0
1513,1,1,0,0,0,0
1514,4,1,0,3,0,0
1515,11,6,0,5,0,0
1516,18,9,0,9,0,0
1517,5,4,0,0,1,0
1518,9,9,0,0,0,0
1519,5,5,0,0,0,0
1520,7,7,0,0,0,0
1522,5,2,0,3,0,0
1523,7,2,0,0,0,5
1524,7,6,0,0,1,0
1525,18,18,0,0,0,0
1526,13,1,0,12,0,0
1527,18,18,0,0,0,0
1530,3,3,0,0,0,0
1534,1,1,0,0,0,0
1535,4,3,0,1,0,0
1536,2,0,0,0,2,0
1537,19,1,0,0,1,17
1538,5,0,0,3,2,0
1539,10,1,0,9,0,0
1540,37,10,0,0,11,16
1542,4,4,0,0,0,0
1543,4,3,0,1,0,0
1544,2,2,0,0,0,0
1545,4,0,0,4,0,0
1546,5,0,0,0,5,0
1547,24,1,0,0,9,14
1548,2,0,0,0,2,0
1549,3,1,0,2,0,0
1550,16,11,0,0,0,5
1551,5,5,0,0,0,0
1552,13,2,0,0,11,0
1553,3,2,0,1,0,0
1554,14,0,0,0,6,8
1555,3,3,0,0,0,0
1556,11,0,0,0,2,9
1557,3,0,0,0,3,0
1558,6,5,0,0,1,0
1559,1,0,0,1,0,0
1560,5,3,0,0,1,1
1563,11,1,0,0,0,10
1566,1,1,0,0,0,0
1567,3,2,0,0,1,0
1570,1,1,0,0,0,0
1571,4,1,0,0,0,3
1575,2,0,0,0,1,1
1578,5,0,0,0,5,0
1580,5,1,0,0,1,3
1583,1,0,0,0,1,0
1585,1,1,0,0,0,0
1587,3,3,0,0,0,0
1590,3,1,0,2,0,0
1594,4,0,0,4,0,0
